03/27/2020, $1900.1, 5387897, $1930.86, $1939.79, $1899.92
03/30/2020, $1963.95, 6126087, $1922.83, $1973.63, $1912.34
03/31/2020, $1949.72, 5123626, $1964.35, $1993.02, $1944.01
04/01/2020, $1907.7, 4121875, $1932.97, $1944.96, $1893
04/02/2020, $1918.83, 4335985, $1901.64, $1927.5258, $1890
04/03/2020, $1906.59, 3609870, $1911.15, $1926.33, $1889.15
04/06/2020, $1997.59, 5773181, $1936, $1998.52, $1930.02
04/07/2020, $2011.6, 5113983, $2017.11, $2035.72, $1997.62
04/08/2020, $2043, 3977313, $2021, $2044, $2011.15
04/09/2020, $2042.76, 4655617, $2044.3, $2053, $2017.66
04/13/2020, $2168.87, 6716709, $2040, $2180, $2038
04/14/2020, $2283.32, 8087193, $2200.47, $2292, $2186.21
04/15/2020, $2307.68, 6866567, $2257.68, $2333.369, $2245
04/16/2020, $2408.19, 12038200, $2346, $2460.9981, $2335
04/17/2020, $2375, 7930010, $2372.33, $2400, $2316.02
04/20/2020, $2393.61, 5770694, $2389.95, $2444.98, $2386.05
04/21/2020, $2328.12, 7476679, $2416.61, $2428.3099, $2279.66
04/22/2020, $2363.49, 4218295, $2369, $2394, $2351
04/23/2020, $2399.45, 5066552, $2399.98, $2424.22, $2382.08
04/24/2020, $2410.22, 3831797, $2417, $2420.4332, $2382
04/27/2020, $2376, 5645645, $2443.2, $2444.88, $2363
04/28/2020, $2314.08, 5269446, $2372.1, $2373.5, $2306
04/29/2020, $2372.71, 4591593, $2330.01, $2391.89, $2310
04/30/2020, $2474, 9534611, $2419.84, $2475, $2396.01
05/01/2020, $2286.04, 9772605, $2336.8, $2362.44, $2258.1901
05/04/2020, $2315.99, 4865926, $2256.38, $2326.98, $2256.38
05/05/2020, $2317.8, 3242496, $2340, $2351, $2307.1251
05/06/2020, $2351.26, 3117814, $2329.44, $2357.45, $2320
05/07/2020, $2367.61, 3396411, $2374.78, $2376, $2343.11
05/08/2020, $2379.61, 3211228, $2372.14, $2387.2449, $2357
05/11/2020, $2409, 3259231, $2374.7, $2419.665, $2372.11
05/12/2020, $2356.95, 3074916, $2411.85, $2418.9999, $2355
05/13/2020, $2367.92, 4782919, $2366.8, $2407.7, $2337.805
05/14/2020, $2388.85, 3648128, $2361.01, $2391.37, $2353.21
05/15/2020, $2409.78, 4234951, $2368.52, $2411, $2356.37
05/18/2020, $2426.26, 4366572, $2404.346, $2433, $2384.01
05/19/2020, $2449.33, 4320498, $2429.83, $2484.995, $2428.97
05/20/2020, $2497.94, 3998143, $2477.87, $2500.01, $2467.27
05/21/2020, $2446.74, 5114403, $2500, $2525.45, $2442.54
05/22/2020, $2436.88, 2867079, $2455.01, $2469.85, $2430.13
05/26/2020, $2421.86, 3568153, $2458, $2462, $2414.06
05/27/2020, $2410.39, 5056945, $2404.99, $2413.58, $2330
05/28/2020, $2401.1, 3193136, $2384.33, $2436.9699, $2378.23
05/29/2020, $2442.37, 3529329, $2415.94, $2442.37, $2398.1973
06/01/2020, $2471.04, 2938032, $2448, $2476.93, $2444.17
06/02/2020, $2472.41, 2529903, $2467, $2473.53, $2445.31
06/03/2020, $2478.4, 2671024, $2468.01, $2488, $2461.17
06/04/2020, $2460.6, 2948710, $2477.43, $2507.54, $2450.01
06/05/2020, $2483, 3306445, $2444.51, $2488.645, $2437.13
06/08/2020, $2524.06, 3970654, $2500.2, $2530, $2487.335
06/09/2020, $2600.86, 5175950, $2529.44, $2626.43, $2525
06/10/2020, $2647.45, 4946031, $2645, $2722.35, $2626.26
06/11/2020, $2557.96, 5800107, $2603.5, $2671.38, $2536.23
06/12/2020, $2545.02, 5436127, $2601.21, $2621.4766, $2503.35
06/15/2020, $2572.68, 3873335, $2526.6, $2584, $2508.0001
06/16/2020, $2615.27, 3595649, $2620, $2620, $2576
06/17/2020, $2640.98, 2959316, $2647.5, $2655, $2631.82
06/18/2020, $2653.98, 2487774, $2647.01, $2659.64, $2636.11
06/19/2020, $2675.01, 5776963, $2678.08, $2697.43, $2659
06/22/2020, $2713.82, 3208780, $2684.5, $2715, $2669
06/23/2020, $2764.41, 4231707, $2726.02, $2783.11, $2718.04
06/24/2020, $2734.4, 4526605, $2780, $2796, $2721
06/25/2020, $2754.58, 2968657, $2739.55, $2756.23, $2712.14
06/26/2020, $2692.87, 6500784, $2775.056, $2782.5688, $2688
06/29/2020, $2680.38, 4223422, $2690.01, $2696.8, $2630.08
06/30/2020, $2758.82, 3769686, $2685.065, $2769.63, $2675.03
07/01/2020, $2878.7, 6363439, $2757.99, $2895, $2754
07/02/2020, $2890.3, 6593387, $2912.01, $2955.56, $2871.1021
07/06/2020, $3057.04, 6880642, $2934.97, $3059.88, $2930
07/07/2020, $3000.12, 5257514, $3058.55, $3069.55, $2990
07/08/2020, $3081.11, 5037635, $3022.61, $3083.97, $3012.4301
07/09/2020, $3182.63, 6388659, $3115.99, $3193.8799, $3074.0016
07/10/2020, $3200, 5485982, $3191.76, $3215, $3135.7
07/13/2020, $3104, 7720420, $3251.06, $3344.29, $3068.3901
07/14/2020, $3084, 7231933, $3089, $3127.38, $2950
07/15/2020, $3008.87, 5788874, $3080.23, $3098.35, $2973.1801
07/16/2020, $2999.9, 6394246, $2971.06, $3032, $2918.23
07/17/2020, $2961.97, 4761319, $3009, $3024, $2948.45
07/20/2020, $3196.84, 7598176, $3000.2, $3201.3599, $2994.0172
07/21/2020, $3138.29, 6134965, $3232.49, $3240.5758, $3105.72
07/22/2020, $3099.91, 4104225, $3125, $3149.9999, $3065.26
07/23/2020, $2986.55, 5656906, $3098.2713, $3098.2713, $2970
07/24/2020, $3008.91, 5632413, $2930, $3031.58, $2888
07/27/2020, $3055.21, 4170492, $3062, $3098, $3015.77
07/28/2020, $3000.33, 3126651, $3054.27, $3077.0926, $2995.76
07/29/2020, $3033.53, 2974060, $3030.99, $3039.1592, $2996.77
07/30/2020, $3051.88, 6128265, $3014, $3092, $3005
07/31/2020, $3164.68, 8083369, $3244, $3246.82, $3151
08/03/2020, $3111.89, 5074663, $3180.51, $3184, $3104
08/04/2020, $3138.83, 4694294, $3101.21, $3167.24, $3101.21
08/05/2020, $3205.03, 3930025, $3143.77, $3213.5859, $3127.3
08/06/2020, $3225, 3940602, $3194.36, $3247.47, $3165.43
08/07/2020, $3167.46, 3936127, $3224.01, $3240.81, $3140.6726
08/10/2020, $3148.16, 3167274, $3170.31, $3172.51, $3101.52
08/11/2020, $3080.67, 3718057, $3113.2, $3159.22, $3073
08/12/2020, $3162.24, 3527229, $3108, $3174.385, $3101.42
08/13/2020, $3161.02, 3149043, $3182.99, $3217.5211, $3155
08/14/2020, $3148.02, 2751723, $3178.18, $3178.2357, $3120
08/17/2020, $3182.41, 2691237, $3173.12, $3194.97, $3154.1775
08/18/2020, $3312.49, 5345974, $3212, $3320, $3205.8187
08/19/2020, $3260.48, 4185137, $3303.01, $3315.9, $3256.0001
